Nama SPBU;Alamat;Kecamatan;Koordinat;Produk BBM
SPBU COCO 31-15701;Jl. Raya Citra Raya Utama Timur Blok O No. 1 Citra Raya, Kec. Panongan, Kab. Tangerang;Panongan;-6.245514165900649, 106.52888567144115;Pertalite, Pertamax, Pertamax Turbo, Pertamina Dex
SPBU 33-15701;Jl. Raya Kutruk-Tigaraksa, Kec. Jambe, Kab. Tangerang;Jambe;-6.289511656063437, 106.49810129599244;Pertalite, Pertamax, Pertamax Turbo, Solar, Pertamina Dex
SPBU 34-15202;Jl. Raya Salembaran Teluknaga, Kec. Teluknaga, Kab. Tangerang;Teluknaga;-6.073121128527746, 106.65887471113754;Pertalite, Pertamax, Solar, Pertamina Dex
SPBU 34-15205;Jl. Raya Kali Perancis No.100 RT.02 RW.08 Ds. Jati Mulya, Kec. Kosambi, Kab. Tangerang;Kosambi;-6.094294745829231, 106.68996191707073;Pertalite, Pertamax, Solar
SPBU 34-15210;Jl. Raya Perancis No. 5 Ds. Dadap, Kec. Kosambi, Kab. Tangerang;Kosambi;-6.090156532818437, 106.71076179725888;Pertalite, Pertamax, Solar, Pertamina Dex
SPBU 34-15304;Jl. Raya Cisauk-Lapan, Desa Suradita, Kec. Cisauk, Kab. Tangerang;Cisauk;-6.341863472315907, 106.63718845324011;Pertalite, Pertamax, Solar, Pertamina Dex
SPBU 34-15306;Jl. Raya Legok Pagedangan, Kec. Pagedangan, Kab. Tangerang;Pagedangan;-6.2611317928239885, 106.60561950693533;Pertalite, Pertamax
SPBU 34-15310;Jl. Legok-Parungpanjang, Ds. Malangnengah, Kec. Pagedangan, Kab. Tangerang;Pagedangan;-6.324286982907528, 106.57927052112127;Pertalite, Pertamax, Solar
SPBU 34-15311;Jl. Raya Cisauk Lapan No.3, Sampora, Kec. Cisauk, Kab. Tangerang;Cisauk;-6.321600119409643, 106.64105105076362;Pertalite, Pertamax, Pertamax Turbo, Solar, Pertamina Dex
SPBU 34-15321;Jl. Maloko Raya No. 38, Ds. Kadusirung , Kec. Pagedangan, Kab. Tangerang;Pagedangan;-6.326457551680478, 106.6036895078949;Pertalite, Pertamax, Pertamax Turbo, Solar, Pertamina Dex
SPBU 34-15323;Jl. Raya Pagedangan No. 88-9, Ds. Cicalengka, Kec. Pagedangan, Kab. Tangerang;Pagedangan;-6.298284072895564, 106.61838468635905;Pertalite, Pertamax, Pertamax Turbo, Pertamina Dex
